"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C1, C2, C3, C5, C7, C8";"0603";6;"10uF";;;
2;"C4, C6, C9, C10, C11";"0603";5;"100nF";;;
3;"C12";"0805";1;"10uF";;;
4;"CN2";"CONN-SMD_2P-P1.25_D125F2W1-2W2P43";1;"ZX-MX1.25-2PWT";;;
5;"CONBAT1, CONBAT2";"PinHeader_1x01_P2.54mm_Vertical";2;"Conn_01x01";;;
6;"CONBAT3, CONBAT4";"TestPoint_Pad_3.0x3.0mm";2;"Conn_01x01";;;
7;"D1";"SOD-123_L2.7-W1.6-LS3.7-RDaaa";1;"1N5819W";;;
8;"D2";"SOD-123FL_L2.7-W1.8-LS3.8-RD";1;"DSK24";;;
9;"J1";"AUDIO-SMD_HOOYA_PJ-242a";1;"AudioJack4_SwitchTR1";;;
10;"J2";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
11;"J3";"687118183722";1;"Conn_01x18_Socket";;;
12;"J4";"AMPHENOL_GSB1C41110SSHR";1;"USB-C";;;
13;"key_a1, key_down1, key_down2, key_left1, key_left2, key_right1, key_right2, key_select1, key_start1, key_up1, key_up2";"430451031836";11;"TS-1187A-B-A-B";;;
14;"key_a2";"DTSM-6";1;"TS-1187A-B-A-B";;;
15;"L1";"IND-SMD_L2.5-W2.0_MHCH252012A";1;"4.7uH";;;
16;"LCD1";"ILI9341-2.8a";1;"Conn_01x18";;;
17;"LED1";"LED0603-RD_GREEN";1;"~";;;
18;"LED2";"LED0603-RD_RED";1;"~";;;
19;"Q1";"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BRaaa";1;"NPN";;;
20;"Q2";"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR";1;"AO3401A";;;
21;"R1, R13";"0603";2;"10K";;;
22;"R2, R22, R23";"0603";3;"100K";;;
23;"R3";"0603";1;"2K";;;
24;"R4, R6, R7";"0603";3;"5K1";;;
25;"R5, R14, R25";"0603";3;"1K";;;
26;"R8";"0603";1;"240R";;;
27;"R9, R10, R11, R12";"0603";4;"10R";;;
28;"R15, R16, R17, R18, R19";"0603";5;"10kΩ";;;
29;"R20";"0603";1;"220K";;;
30;"R21";"0603";1;"680K";;;
31;"R24";"0603";1;"10K";;;
32;"R26";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10K";;;
33;"R111";"0603";1;"0R";;;
34;"REF**";"BATT_CONN_SMT_292173";1;"BATT_CONN_SMT_292173";;;
35;"RP1, RP2";"Adafruit_2765";2;"Adafruit_2765";;;
36;"SD1";"TF-SMD_TF-01A";1;"~";;;
37;"SPK1, SPK11";"TestPoint_Pad_D2.5mm";2;"Conn_01x01";;;
38;"SW1";"SW-SMD_MSK12C02-HB";1;"SK-3296S-01-L3";;;
39;"SW_BOOT1, SW_RST1";"SW-SMD_L3.9-W3.0-P4.45";2;"3*4 龟仔/微动/轻触开关";;;
40;"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23";"TestPoint_Pad_D1.0mm";23;"TestPoint";;;
41;"U1";"COMM-SMD_L25.0-W20.0-P1.00_WT0132P4-A1";1;"~";;;
42;"U3";"ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP";1;"TP4056";;;
43;"U4";"ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP";1;"NS4168";;;
44;"U5";"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR";1;"TPS61040DBV";;;
45;"U6";"SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR";1;"AP2112K-3.3";;;
46;"VR1";"RK10J11E002Y";1;"RK10J11E002Y";;;
47;"X22, X23";"";2;"";;;
